id,user_id,stripe_session_id,stripe_payment_intent,amount_nzd,currency,purchase_type,course_id,video_key,status,created_at,paid_at
032d5ba0-205c-4e40-a499-a9e0e327a340,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1AlsKzRqu3Yyiv4feahtboZfgU4HfodNR4PLpCoHZp8C4YlQ10EAlbCIl,,10.00,nzd,video,faceyoga,face-yoga/lesson-01-introduction-guide.mp4,pending,2026-03-28 09:21:30.027309+00,
111f8dc6-4b50-4da9-ad85-b1aaf7d71e3f,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1zQ5ke9i2QWQV7Fd38Ect5fSgo3NIuHTPt2ex66pm9j7C75gVX4OvD7Ek,,10.00,nzd,video,qigong,acupressure/lesson-01-head-acupressure.mp4,pending,2026-03-28 09:22:20.36192+00,
1ba97d80-f13e-4a18-b7ee-cfc70e661365,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1q7yR3QpZVmdb4kvTx7FIHhfPinI7PLgzXpJ86j02Hj2dm8HZjTkFc56e,,10.00,nzd,video,qigong,acupressure/lesson-01-head-acupressure.mp4,pending,2026-03-29 02:55:07.918382+00,
29f994f1-5455-41f1-a144-c740c3877bc0,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a14IGuqvG1D8ICKUTvGfN1HnlDtA5onuYIbZX69wO63Lb3akE2DJ7Rw424,,99.00,nzd,course,qigong,,pending,2026-03-29 02:55:59.253327+00,
2a280478-ea15-4247-aa31-195e2bb1bb10,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1k6QMc4eVCFpbbzXfhZgVe7RCogEYrEBSJvNoyJR22XjQp7uUCLk4Gk6K,,10.00,nzd,video,faceyoga,face-yoga/lesson-01-introduction-guide.mp4,pending,2026-03-28 09:21:30.575478+00,
2bc8cd24-0d5b-4852-96a4-c034adb238cc,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1AQJatlstj632IQzWeicqGG77QpVvz07aS16DAy8odP3O8cGkN5ybO84T,,29.00,nzd,membership,,,pending,2026-03-29 02:01:19.379108+00,
2fcafdec-1a63-4fc9-bafd-1da15b007061,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1uq8hcjihywVd6Fbm10VF8hJNQQY3a68edDbw1zjX4rBIhbcX6AhyWhIF,,10.00,nzd,video,taichi,taichi/lesson-01-five-element-wellness-qigong.mp4,pending,2026-03-29 03:11:31.772142+00,
31ed9f15-716f-4286-8f8d-8a89d0701a76,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1Dwmk88K99Wl2ijtOIwPSjxUMMdivAEPH1I2S3NFBNbOD0yJDSqYawBoY,,10.00,nzd,video,faceyoga,face-yoga/lesson-01-introduction-guide.mp4,pending,2026-03-28 09:21:30.534852+00,
3875c32d-b11e-4682-8759-c35192c40701,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1VqJBjZV0eTjkfXwMacNhIWQfwD9fpOP347CANYk6FoCxcgnMOGK5z3bm,,0.50,nzd,course,taichi,,pending,2026-03-29 03:17:38.20342+00,
42c9bec5-83c8-4bcc-82ce-c22804534312,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1IXrCDIOKu45Bs93UoUgGKU5nJfsaoGxVkLXIerA97GuUgBqfWTrkqJRU,,29.00,nzd,membership,,,pending,2026-03-29 02:52:16.489241+00,
4e585f8e-5079-4942-9140-83d1d407ceb2,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1N0fx2iUAmiMB9K2hoOYyp60zW5iEWdFK3SJQHyiGMv8jMbn365Epq10n,,10.00,nzd,video,qigong,acupressure/lesson-01-head-acupressure.mp4,pending,2026-03-29 03:11:52.996318+00,
6a2a4070-0e74-40a2-8fa3-54363572d8c2,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1CSEgDep0hcOT7Nb70orEA3AfvJtp6TxZdrZPOc704VPNhNKgd6VgduHf,,99.00,nzd,course,qigong,,pending,2026-03-29 02:51:06.976853+00,
6bc52b14-da7e-44bc-a7bf-c5946807e92c,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1zE5R9MxUyBjP2Mufz0iaOg5YoF0VC4B9v9x7rdQsBEMkp2r1tuCmby5A,,30.00,nzd,course,taichi,,pending,2026-03-29 02:51:08.051404+00,
6f70dd80-0539-4235-a35f-2f538c7c3e6a,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1gTy51BAqeShzEb2F8i3o0uIiJby3cOscPw1PTn35HwqLPIT9esF3OtBz,,29.00,nzd,membership,,,pending,2026-03-29 02:51:29.845121+00,
769d11c5-d8cc-4e84-bf63-558e85af66b4,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1RNgkRnR2lJ4oWMU2jXOo3usLpaQjBlk6Qv4FfgnXTwtq6nRSp1PS2NVW,,10.00,nzd,video,taichi,taichi/lesson-01-five-element-wellness-qigong.mp4,pending,2026-03-29 03:14:29.779734+00,
7cbd91ff-f3c5-4aa3-acb1-bb335debe375,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1EgPaRw55d7wegCpJO9jDq3pNcYXhsIGQ0n4w3SlhVPytUV56mu2pQFOn,,10.00,nzd,video,faceyoga,face-yoga/lesson-01-introduction-guide.mp4,pending,2026-03-28 09:21:30.841954+00,
804bfaf8-44f2-4a91-b39d-f693508665a1,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1TmQ7d97Jjtg7FVmEle6xz1LDkH5D3iEbUpdFIl383wzkw5S99ZxCib3R,,29.00,nzd,membership,,,pending,2026-03-29 02:52:01.473717+00,
8d046ec4-cf5a-4cc9-be90-c69d095022de,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1aFBAtnqayO5Pi9KDhw6xRAm3poRSA51FFWZ3ZS6mxMzaXqRAiWlRxQFj,,30.00,nzd,course,taichi,,pending,2026-03-29 02:51:08.546685+00,
905ad389-5183-493c-81b5-a934b5123924,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1o3i9pjrqM3CRPTKgYmTkulhh2OX7gyrU6Hx1XFFHnlI2Z6np1UAj4mQq,,149.00,nzd,course,faceyoga,,pending,2026-03-29 02:51:09.279518+00,
94e821d9-0b9c-4733-9803-a5ec3eda3e84,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1Nqokvaq9VZb4QSTRC1bOlyDDFZrvz9WesgBVj289dEEGNhjkCLXq1Ed3,,10.00,nzd,video,qigong,acupressure/lesson-01-head-acupressure.mp4,pending,2026-03-28 09:22:21.675904+00,
9dcd2579-42c8-4f82-b1b7-87876273b589,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1KAFMrw2ghfIu8stNnAJ18JA0BlvyVNSa2FUilrLZBUOO9xYQ8OPAWUok,,29.00,nzd,membership,,,pending,2026-03-29 02:01:19.064125+00,
9e95aca9-8413-494a-a763-b776fd46be8e,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_test_a1Ljq4mXC7Hfaj1mGO4SueWcaF66MOXg1jE8yjiU4iQtqhXv2gjUtsvixx,,29.00,nzd,membership,,,pending,2026-03-28 09:22:49.219553+00,
a449d69e-d5af-4712-9cb8-11995463250a,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1LaGQ7k3qIPtN5JtqtkPmSHbKE597m0awYs5z3zB9L1ADNS8afWBWmIJk,,10.00,nzd,video,taichi,taichi/lesson-01-five-element-wellness-qigong.mp4,pending,2026-03-29 03:11:33.140223+00,
a6fcd3e4-8b71-4e2e-b7f6-b8f9efd8d8f1,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1luUmPFlv5Q0EPNN7wVVLfsuGLwxxsWt5DlW8MSNNA3FgWpopWJC6hZ2N,,30.00,nzd,membership,,,pending,2026-03-29 03:12:03.524373+00,
ad176b9d-795b-4e03-9069-285ee5463839,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1ufwprh535mBZhuABInYK7GjycrsUYC91GzFQUG4CPr85bVb3s48z2pGE,,30.00,nzd,course,taichi,,pending,2026-03-29 02:51:09.070873+00,
ccc35539-e589-4786-abb9-70edfefc7d37,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1VLmUvcP6UuZhBhwLrdxNXgw4gbVboxwhOYLqlEuvdS7IqJwGEtl4nNcs,,30.00,nzd,course,taichi,,pending,2026-03-29 02:51:09.091021+00,
cda6f72b-8801-4223-ac4c-d7d6b8f80fc0,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1JLLrYf4EymojgWW5V2eqHFPTbpUKb0pFaWkmdU6OpF83eoQBBfUw6d9J,,30.00,nzd,course,taichi,,pending,2026-03-29 02:51:08.485425+00,
d53d6554-0601-4362-ba0a-940350fc9e49,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1S00EVc4NtDpVoKfF5FxeAVWolfU7cgnuDiq36141888JnJ81HycDhgm0,,30.00,nzd,course,taichi,,pending,2026-03-29 02:51:18.746038+00,
e19b9215-5e60-4a59-9b51-068d0977da4f,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1b8Au16LJ8lWmkCm9tvzfk70EoeaKqbdS0EcUnLRsfybS0uOmPAITQBUV,,10.00,nzd,video,faceyoga,face-yoga/lesson-02-forehead-wrinkle-relief.mp4,pending,2026-03-29 03:12:31.17698+00,
e7836d5e-c23b-4149-8760-5a44a086f34d,8441b4c1-3652-4520-8e01-1364fb4a430a,cs_live_a1F3wGYwnW9bQtF8CsNI6cdbXEnbWTnlIIq8BOaXpJvgOaUh7OODeU5FQx,,29.00,nzd,membership,,,pending,2026-03-29 02:52:00.39692+00,
